/home/josep/miniconda3/envs/nlp/lib/python3.11/site-packages/trl/trainer/ppo_config.py:141: UserWarning: The `optimize_cuda_cache` arguement will be deprecated soon, please use `optimize_device_cache` instead.
  warnings.warn(
/home/josep/miniconda3/envs/nlp/lib/python3.11/site-packages/transformers/models/auto/auto_factory.py:472: FutureWarning: The `use_auth_token` argument is deprecated and will be removed in v5 of Transformers. Please use `token` instead.
  warnings.warn(
Loading checkpoint shards: 100%|████████████████████████████████████████████████████████████████████████████████████████████| 2/2 [00:13<00:00,  6.74s/it]
Map: 100%|███████████████████████████████████████████████████████████████████████████████████████████████████| 1700/1700 [00:00<00:00, 7070.36 examples/s]
{'loss': 1.0645, 'learning_rate': 8.823584905660378e-06, 'epoch': 1.12}                                                                                   
{'loss': 1.0278, 'learning_rate': 8.801415094339624e-06, 'epoch': 1.12}                                                                                   
{'loss': 1.0527, 'learning_rate': 8.779245283018868e-06, 'epoch': 1.13}                                                                                   
{'loss': 1.2855, 'learning_rate': 8.757075471698114e-06, 'epoch': 1.13}                                                                                   
{'loss': 1.0167, 'learning_rate': 8.734905660377359e-06, 'epoch': 1.14}                                                                                   
{'loss': 1.1604, 'learning_rate': 8.712735849056605e-06, 'epoch': 1.14}                                                                                   
{'loss': 1.2128, 'learning_rate': 8.69056603773585e-06, 'epoch': 1.15}                                                                                    
{'loss': 0.9657, 'learning_rate': 8.668396226415096e-06, 'epoch': 1.15}                                                                                   
{'loss': 0.9309, 'learning_rate': 8.64622641509434e-06, 'epoch': 1.16}                                                                                    
{'loss': 1.3229, 'learning_rate': 8.624056603773586e-06, 'epoch': 1.16}                                                                                   
{'loss': 0.9728, 'learning_rate': 8.60188679245283e-06, 'epoch': 1.17}                                                                                    
{'loss': 1.1702, 'learning_rate': 8.579716981132077e-06, 'epoch': 1.17}                                                                                   
{'loss': 1.1717, 'learning_rate': 8.557547169811321e-06, 'epoch': 1.18}                                                                                   
{'loss': 1.0464, 'learning_rate': 8.535377358490567e-06, 'epoch': 1.18}                                                                                   
{'loss': 1.316, 'learning_rate': 8.513207547169812e-06, 'epoch': 1.19}                                                                                    
{'loss': 1.1708, 'learning_rate': 8.491037735849058e-06, 'epoch': 1.19}                                                                                   
{'loss': 1.0843, 'learning_rate': 8.468867924528303e-06, 'epoch': 1.2}                                                                                    
{'loss': 1.1671, 'learning_rate': 8.446698113207549e-06, 'epoch': 1.2}                                                                                    
{'loss': 0.7117, 'learning_rate': 8.424528301886793e-06, 'epoch': 1.2}                                                                                    
{'loss': 0.9852, 'learning_rate': 8.40235849056604e-06, 'epoch': 1.21}                                                                                    
{'loss': 1.0068, 'learning_rate': 8.380188679245284e-06, 'epoch': 1.21}                                                                                   
{'loss': 1.1698, 'learning_rate': 8.35801886792453e-06, 'epoch': 1.22}                                                                                    
{'loss': 0.8681, 'learning_rate': 8.335849056603774e-06, 'epoch': 1.22}                                                                                   
{'loss': 0.9566, 'learning_rate': 8.31367924528302e-06, 'epoch': 1.23}                                                                                    
{'loss': 0.8535, 'learning_rate': 8.291509433962265e-06, 'epoch': 1.23}                                                                                   
{'loss': 1.0659, 'learning_rate': 8.26933962264151e-06, 'epoch': 1.24}                                                                                    
{'loss': 0.9983, 'learning_rate': 8.247169811320756e-06, 'epoch': 1.24}                                                                                   
{'loss': 0.8578, 'learning_rate': 8.225e-06, 'epoch': 1.25}                                                                                               
{'loss': 1.1459, 'learning_rate': 8.202830188679246e-06, 'epoch': 1.25}                                                                                   
{'loss': 0.8953, 'learning_rate': 8.18066037735849e-06, 'epoch': 1.26}                                                                                    
{'loss': 1.1073, 'learning_rate': 8.158490566037735e-06, 'epoch': 1.26}                                                                                   
{'loss': 0.9207, 'learning_rate': 8.136320754716981e-06, 'epoch': 1.27}                                                                                   
{'loss': 0.906, 'learning_rate': 8.114150943396226e-06, 'epoch': 1.27}                                                                                    
{'loss': 1.0117, 'learning_rate': 8.091981132075472e-06, 'epoch': 1.28}                                                                                   
{'loss': 1.1474, 'learning_rate': 8.069811320754716e-06, 'epoch': 1.28}                                                                                   
{'loss': 0.9796, 'learning_rate': 8.047641509433962e-06, 'epoch': 1.28}                                                                                   
{'loss': 1.2722, 'learning_rate': 8.025471698113207e-06, 'epoch': 1.29}                                                                                   
{'loss': 1.1476, 'learning_rate': 8.003301886792453e-06, 'epoch': 1.29}                                                                                   
{'loss': 0.9096, 'learning_rate': 7.981132075471698e-06, 'epoch': 1.3}                                                                                    
{'loss': 1.2371, 'learning_rate': 7.958962264150944e-06, 'epoch': 1.3}                                                                                    
{'loss': 0.8844, 'learning_rate': 7.936792452830188e-06, 'epoch': 1.31}                                                                                   
{'loss': 0.9373, 'learning_rate': 7.914622641509434e-06, 'epoch': 1.31}                                                                                   
{'loss': 1.0129, 'learning_rate': 7.892452830188679e-06, 'epoch': 1.32}                                                                                   
{'loss': 0.8779, 'learning_rate': 7.870283018867925e-06, 'epoch': 1.32}                                                                                   
{'loss': 0.9774, 'learning_rate': 7.84811320754717e-06, 'epoch': 1.33}                                                                                    
{'loss': 1.1824, 'learning_rate': 7.825943396226415e-06, 'epoch': 1.33}                                                                                   
{'loss': 0.9323, 'learning_rate': 7.80377358490566e-06, 'epoch': 1.34}                                                                                    
{'loss': 1.0318, 'learning_rate': 7.781603773584906e-06, 'epoch': 1.34}                                                                                   
{'loss': 1.0116, 'learning_rate': 7.75943396226415e-06, 'epoch': 1.35}                                                                                    
{'loss': 0.8909, 'learning_rate': 7.737264150943397e-06, 'epoch': 1.35}                                                                                   
{'loss': 1.1998, 'learning_rate': 7.715094339622641e-06, 'epoch': 1.36}                                                                                   
{'loss': 1.017, 'learning_rate': 7.692924528301887e-06, 'epoch': 1.36}                                                                                    
{'loss': 0.9515, 'learning_rate': 7.670754716981132e-06, 'epoch': 1.36}                                                                                   
{'loss': 1.1653, 'learning_rate': 7.648584905660378e-06, 'epoch': 1.37}                                                                                   
{'loss': 0.6623, 'learning_rate': 7.626415094339623e-06, 'epoch': 1.37}                                                                                   
{'loss': 1.0602, 'learning_rate': 7.6042452830188685e-06, 'epoch': 1.38}                                                                                  
{'loss': 1.0556, 'learning_rate': 7.582075471698113e-06, 'epoch': 1.38}                                                                                   
{'loss': 1.1857, 'learning_rate': 7.559905660377359e-06, 'epoch': 1.39}                                                                                   
{'loss': 1.0944, 'learning_rate': 7.537735849056604e-06, 'epoch': 1.39}                                                                                   
{'loss': 0.8615, 'learning_rate': 7.51556603773585e-06, 'epoch': 1.4}                                                                                     
{'loss': 0.9978, 'learning_rate': 7.493396226415094e-06, 'epoch': 1.4}                                                                                    
{'loss': 0.9598, 'learning_rate': 7.47122641509434e-06, 'epoch': 1.41}                                                                                    
{'loss': 0.9763, 'learning_rate': 7.449056603773585e-06, 'epoch': 1.41}                                                                                   
 47%|██████████████████████████████████████████████████████▏                                                            | 300/636 [25:47<32:23,  5.78s/it]/home/josep/miniconda3/envs/nlp/lib/python3.11/site-packages/torch/utils/checkpoint.py:429: UserWarning: torch.utils.checkpoint: please pass in use_reentrant=True or use_reentrant=False explicitly. The default value of use_reentrant will be updated to be False in the future. To maintain current behavior, pass use_reentrant=True. It is recommended that you use use_reentrant=False. Refer to docs for more details on the differences between the two variants.
  warnings.warn(
/home/josep/miniconda3/envs/nlp/lib/python3.11/site-packages/bitsandbytes/autograd/_functions.py:322: UserWarning: MatMul8bitLt: inputs will be cast from torch.float32 to float16 during quantization
  warnings.warn(f"MatMul8bitLt: inputs will be cast from {A.dtype} to float16 during quantization")
/home/josep/miniconda3/envs/nlp/lib/python3.11/site-packages/bitsandbytes/autograd/_functions.py:322: UserWarning: MatMul8bitLt: inputs will be cast from torch.bfloat16 to float16 during quantization
  warnings.warn(f"MatMul8bitLt: inputs will be cast from {A.dtype} to float16 during quantization")
{'loss': 0.9165, 'learning_rate': 7.426886792452831e-06, 'epoch': 1.42}                                                                                   
{'loss': 0.8293, 'learning_rate': 7.404716981132075e-06, 'epoch': 1.42}                                                                                   
{'loss': 1.0605, 'learning_rate': 7.3825471698113216e-06, 'epoch': 1.43}                                                                                  
{'loss': 0.9782, 'learning_rate': 7.360377358490566e-06, 'epoch': 1.43}                                                                                   
{'loss': 0.9508, 'learning_rate': 7.338207547169812e-06, 'epoch': 1.44}                                                                                   
{'loss': 1.0854, 'learning_rate': 7.316037735849057e-06, 'epoch': 1.44}                                                                                   
{'loss': 1.1066, 'learning_rate': 7.293867924528303e-06, 'epoch': 1.44}                                                                                   
{'loss': 1.036, 'learning_rate': 7.271698113207547e-06, 'epoch': 1.45}                                                                                    
{'loss': 0.947, 'learning_rate': 7.249528301886793e-06, 'epoch': 1.45}                                                                                    
{'loss': 0.9637, 'learning_rate': 7.227358490566038e-06, 'epoch': 1.46}                                                                                   
{'loss': 1.1157, 'learning_rate': 7.205188679245284e-06, 'epoch': 1.46}                                                                                   
{'loss': 1.2294, 'learning_rate': 7.1830188679245284e-06, 'epoch': 1.47}                                                                                  
{'loss': 1.1162, 'learning_rate': 7.160849056603775e-06, 'epoch': 1.47}                                                                                   
{'loss': 1.1629, 'learning_rate': 7.138679245283019e-06, 'epoch': 1.48}                                                                                   
{'loss': 0.724, 'learning_rate': 7.116509433962265e-06, 'epoch': 1.48}                                                                                    
{'loss': 1.1256, 'learning_rate': 7.09433962264151e-06, 'epoch': 1.49}                                                                                    
{'loss': 1.139, 'learning_rate': 7.072169811320756e-06, 'epoch': 1.49}                                                                                    
{'loss': 0.851, 'learning_rate': 7.05e-06, 'epoch': 1.5}                                                                                                  
{'loss': 0.839, 'learning_rate': 7.0278301886792456e-06, 'epoch': 1.5}                                                                                    
{'loss': 1.0918, 'learning_rate': 7.005660377358491e-06, 'epoch': 1.51}                                                                                   
{'loss': 1.0844, 'learning_rate': 6.983490566037736e-06, 'epoch': 1.51}                                                                                   
{'loss': 0.9574, 'learning_rate': 6.9613207547169815e-06, 'epoch': 1.52}                                                                                  
{'loss': 1.1085, 'learning_rate': 6.939150943396227e-06, 'epoch': 1.52}                                                                                   
{'loss': 1.1554, 'learning_rate': 6.916981132075472e-06, 'epoch': 1.52}                                                                                   
{'loss': 0.8646, 'learning_rate': 6.894811320754717e-06, 'epoch': 1.53}                                                                                   
{'loss': 0.827, 'learning_rate': 6.872641509433963e-06, 'epoch': 1.53}                                                                                    
{'loss': 1.0682, 'learning_rate': 6.850471698113208e-06, 'epoch': 1.54}                                                                                   
{'loss': 1.0566, 'learning_rate': 6.828301886792453e-06, 'epoch': 1.54}                                                                                   
{'loss': 0.8914, 'learning_rate': 6.806132075471699e-06, 'epoch': 1.55}                                                                                   
{'loss': 1.0294, 'learning_rate': 6.783962264150944e-06, 'epoch': 1.55}                                                                                   
{'loss': 0.9136, 'learning_rate': 6.761792452830189e-06, 'epoch': 1.56}                                                                                   
{'loss': 0.9151, 'learning_rate': 6.7396226415094345e-06, 'epoch': 1.56}                                                                                  
{'loss': 0.8387, 'learning_rate': 6.71745283018868e-06, 'epoch': 1.57}                                                                                    
{'loss': 0.8399, 'learning_rate': 6.695283018867925e-06, 'epoch': 1.57}                                                                                   
{'loss': 0.9477, 'learning_rate': 6.67311320754717e-06, 'epoch': 1.58}                                                                                    
{'loss': 0.8258, 'learning_rate': 6.650943396226416e-06, 'epoch': 1.58}                                                                                   
{'loss': 0.9355, 'learning_rate': 6.628773584905661e-06, 'epoch': 1.59}                                                                                   
{'loss': 0.9392, 'learning_rate': 6.606603773584906e-06, 'epoch': 1.59}                                                                                   
{'loss': 0.8508, 'learning_rate': 6.584433962264152e-06, 'epoch': 1.6}                                                                                    
{'loss': 0.9951, 'learning_rate': 6.562264150943397e-06, 'epoch': 1.6}                                                                                    
{'loss': 1.0752, 'learning_rate': 6.540094339622642e-06, 'epoch': 1.6}                                                                                    
{'loss': 0.9183, 'learning_rate': 6.5179245283018875e-06, 'epoch': 1.61}                                                                                  
{'loss': 0.9184, 'learning_rate': 6.495754716981133e-06, 'epoch': 1.61}                                                                                   
{'loss': 1.0672, 'learning_rate': 6.473584905660377e-06, 'epoch': 1.62}                                                                                   
{'loss': 1.0863, 'learning_rate': 6.451415094339623e-06, 'epoch': 1.62}                                                                                   
{'loss': 1.0354, 'learning_rate': 6.429245283018868e-06, 'epoch': 1.63}                                                                                   
{'loss': 0.9826, 'learning_rate': 6.407075471698113e-06, 'epoch': 1.63}                                                                                   
{'loss': 0.9182, 'learning_rate': 6.3849056603773585e-06, 'epoch': 1.64}                                                                                  
{'loss': 0.9627, 'learning_rate': 6.362735849056604e-06, 'epoch': 1.64}                                                                                   
{'loss': 1.2827, 'learning_rate': 6.340566037735849e-06, 'epoch': 1.65}                                                                                   
{'loss': 0.9699, 'learning_rate': 6.3183962264150944e-06, 'epoch': 1.65}                                                                                  
{'loss': 0.8898, 'learning_rate': 6.29622641509434e-06, 'epoch': 1.66}                                                                                    
{'loss': 1.0477, 'learning_rate': 6.274056603773585e-06, 'epoch': 1.66}                                                                                   
{'loss': 0.7515, 'learning_rate': 6.25188679245283e-06, 'epoch': 1.67}                                                                                    
{'loss': 1.0761, 'learning_rate': 6.229716981132076e-06, 'epoch': 1.67}                                                                                   
{'loss': 1.0347, 'learning_rate': 6.207547169811321e-06, 'epoch': 1.68}                                                                                   
{'loss': 1.1166, 'learning_rate': 6.185377358490566e-06, 'epoch': 1.68}                                                                                   
{'loss': 0.8263, 'learning_rate': 6.1632075471698116e-06, 'epoch': 1.68}                                                                                  
{'loss': 0.9055, 'learning_rate': 6.141037735849057e-06, 'epoch': 1.69}                                                                                   
{'loss': 0.9471, 'learning_rate': 6.118867924528302e-06, 'epoch': 1.69}                                                                                   
{'loss': 0.9324, 'learning_rate': 6.0966981132075475e-06, 'epoch': 1.7}                                                                                   
{'loss': 0.9573, 'learning_rate': 6.074528301886793e-06, 'epoch': 1.7}                                                                                    
{'loss': 0.9451, 'learning_rate': 6.052358490566038e-06, 'epoch': 1.71}                                                                                   
{'loss': 0.8763, 'learning_rate': 6.030188679245283e-06, 'epoch': 1.71}                                                                                   
{'loss': 1.1112, 'learning_rate': 6.008018867924529e-06, 'epoch': 1.72}                                                                                   
{'loss': 1.0139, 'learning_rate': 5.985849056603774e-06, 'epoch': 1.72}                                                                                   
{'loss': 0.9205, 'learning_rate': 5.963679245283019e-06, 'epoch': 1.73}                                                                                   
{'loss': 0.8918, 'learning_rate': 5.941509433962265e-06, 'epoch': 1.73}                                                                                   
{'loss': 0.8254, 'learning_rate': 5.91933962264151e-06, 'epoch': 1.74}                                                                                    
{'loss': 1.0425, 'learning_rate': 5.897169811320755e-06, 'epoch': 1.74}                                                                                   
{'loss': 0.9067, 'learning_rate': 5.8750000000000005e-06, 'epoch': 1.75}                                                                                  
{'loss': 0.8894, 'learning_rate': 5.852830188679246e-06, 'epoch': 1.75}                                                                                   
{'loss': 0.6195, 'learning_rate': 5.830660377358491e-06, 'epoch': 1.76}                                                                                   
{'loss': 0.974, 'learning_rate': 5.808490566037736e-06, 'epoch': 1.76}                                                                                    
{'loss': 0.8678, 'learning_rate': 5.786320754716982e-06, 'epoch': 1.76}                                                                                   
{'loss': 0.9349, 'learning_rate': 5.764150943396227e-06, 'epoch': 1.77}                                                                                   
{'loss': 0.7539, 'learning_rate': 5.741981132075472e-06, 'epoch': 1.77}                                                                                   
{'loss': 0.7834, 'learning_rate': 5.719811320754718e-06, 'epoch': 1.78}                                                                                   
{'loss': 1.0588, 'learning_rate': 5.697641509433963e-06, 'epoch': 1.78}                                                                                   
{'loss': 0.7346, 'learning_rate': 5.675471698113208e-06, 'epoch': 1.79}                                                                                   
{'loss': 0.9588, 'learning_rate': 5.6533018867924535e-06, 'epoch': 1.79}                                                                                  
{'loss': 1.14, 'learning_rate': 5.631132075471699e-06, 'epoch': 1.8}                                                                                      
{'loss': 1.0633, 'learning_rate': 5.608962264150944e-06, 'epoch': 1.8}                                                                                    
{'loss': 1.011, 'learning_rate': 5.5867924528301894e-06, 'epoch': 1.81}                                                                                   
{'loss': 0.917, 'learning_rate': 5.564622641509435e-06, 'epoch': 1.81}                                                                                    
{'loss': 1.0486, 'learning_rate': 5.54245283018868e-06, 'epoch': 1.82}                                                                                    
{'loss': 1.0221, 'learning_rate': 5.520283018867925e-06, 'epoch': 1.82}                                                                                   
{'loss': 0.9905, 'learning_rate': 5.498113207547171e-06, 'epoch': 1.83}                                                                                   
{'loss': 1.051, 'learning_rate': 5.475943396226416e-06, 'epoch': 1.83}                                                                                    
{'loss': 0.7195, 'learning_rate': 5.453773584905661e-06, 'epoch': 1.84}                                                                                   
{'loss': 1.0133, 'learning_rate': 5.4316037735849066e-06, 'epoch': 1.84}                                                                                  
{'loss': 1.0567, 'learning_rate': 5.409433962264152e-06, 'epoch': 1.84}                                                                                   
{'loss': 0.9333, 'learning_rate': 5.387264150943397e-06, 'epoch': 1.85}                                                                                   
{'loss': 1.0004, 'learning_rate': 5.3650943396226425e-06, 'epoch': 1.85}                                                                                  
{'loss': 0.8552, 'learning_rate': 5.342924528301888e-06, 'epoch': 1.86}                                                                                   
{'loss': 1.043, 'learning_rate': 5.320754716981132e-06, 'epoch': 1.86}                                                                                    
{'loss': 0.9447, 'learning_rate': 5.2985849056603775e-06, 'epoch': 1.87}                                                                                  
{'loss': 1.1422, 'learning_rate': 5.276415094339623e-06, 'epoch': 1.87}                                                                                   
{'loss': 1.0441, 'learning_rate': 5.254245283018868e-06, 'epoch': 1.88}                                                                                   
{'loss': 1.1155, 'learning_rate': 5.232075471698113e-06, 'epoch': 1.88}                                                                                   
 63%|████████████████████████████████████████████████████████████████████████▎                                          | 400/636 [34:23<24:03,  6.12s/it]/home/josep/miniconda3/envs/nlp/lib/python3.11/site-packages/torch/utils/checkpoint.py:429: UserWarning: torch.utils.checkpoint: please pass in use_reentrant=True or use_reentrant=False explicitly. The default value of use_reentrant will be updated to be False in the future. To maintain current behavior, pass use_reentrant=True. It is recommended that you use use_reentrant=False. Refer to docs for more details on the differences between the two variants.
  warnings.warn(
/home/josep/miniconda3/envs/nlp/lib/python3.11/site-packages/bitsandbytes/autograd/_functions.py:322: UserWarning: MatMul8bitLt: inputs will be cast from torch.float32 to float16 during quantization
  warnings.warn(f"MatMul8bitLt: inputs will be cast from {A.dtype} to float16 during quantization")
/home/josep/miniconda3/envs/nlp/lib/python3.11/site-packages/bitsandbytes/autograd/_functions.py:322: UserWarning: MatMul8bitLt: inputs will be cast from torch.bfloat16 to float16 during quantization
  warnings.warn(f"MatMul8bitLt: inputs will be cast from {A.dtype} to float16 during quantization")
{'loss': 0.9788, 'learning_rate': 5.209905660377358e-06, 'epoch': 1.89}                                                                                   
{'loss': 0.8569, 'learning_rate': 5.187735849056603e-06, 'epoch': 1.89}                                                                                   
{'loss': 0.9463, 'learning_rate': 5.1655660377358485e-06, 'epoch': 1.9}                                                                                   
{'loss': 0.8742, 'learning_rate': 5.143396226415094e-06, 'epoch': 1.9}                                                                                    
{'loss': 0.8601, 'learning_rate': 5.121226415094339e-06, 'epoch': 1.91}                                                                                   
{'loss': 1.1198, 'learning_rate': 5.0990566037735844e-06, 'epoch': 1.91}                                                                                  
{'loss': 0.8072, 'learning_rate': 5.07688679245283e-06, 'epoch': 1.92}                                                                                    
{'loss': 0.8098, 'learning_rate': 5.054716981132075e-06, 'epoch': 1.92}                                                                                   
{'loss': 0.9234, 'learning_rate': 5.03254716981132e-06, 'epoch': 1.92}                                                                                    
{'loss': 1.0636, 'learning_rate': 5.010377358490566e-06, 'epoch': 1.93}                                                                                   
{'loss': 0.9531, 'learning_rate': 4.988207547169811e-06, 'epoch': 1.93}                                                                                   
{'loss': 0.912, 'learning_rate': 4.966037735849056e-06, 'epoch': 1.94}                                                                                    
{'loss': 0.7991, 'learning_rate': 4.9438679245283016e-06, 'epoch': 1.94}                                                                                  
{'loss': 0.7858, 'learning_rate': 4.921698113207547e-06, 'epoch': 1.95}                                                                                   
{'loss': 0.9156, 'learning_rate': 4.899528301886792e-06, 'epoch': 1.95}                                                                                   
{'loss': 1.0391, 'learning_rate': 4.8773584905660375e-06, 'epoch': 1.96}                                                                                  
{'loss': 0.8191, 'learning_rate': 4.855188679245283e-06, 'epoch': 1.96}                                                                                   
{'loss': 0.857, 'learning_rate': 4.833018867924528e-06, 'epoch': 1.97}                                                                                    
{'loss': 0.8543, 'learning_rate': 4.810849056603773e-06, 'epoch': 1.97}                                                                                   
{'loss': 0.854, 'learning_rate': 4.788679245283019e-06, 'epoch': 1.98}                                                                                    
{'loss': 0.9286, 'learning_rate': 4.766509433962264e-06, 'epoch': 1.98}                                                                                   
{'loss': 0.9784, 'learning_rate': 4.744339622641509e-06, 'epoch': 1.99}                                                                                   
{'loss': 0.9065, 'learning_rate': 4.722169811320755e-06, 'epoch': 1.99}                                                                                   
{'loss': 1.027, 'learning_rate': 4.7e-06, 'epoch': 2.0}                                                                                                   
{'loss': 0.8212, 'learning_rate': 4.677830188679245e-06, 'epoch': 2.0}                                                                                    
{'loss': 0.8607, 'learning_rate': 4.6556603773584905e-06, 'epoch': 2.0}                                                                                   
{'loss': 0.9557, 'learning_rate': 4.633490566037736e-06, 'epoch': 2.01}                                                                                   
{'loss': 0.7657, 'learning_rate': 4.611320754716981e-06, 'epoch': 2.01}                                                                                   
{'loss': 0.8144, 'learning_rate': 4.589150943396226e-06, 'epoch': 2.02}                                                                                   
{'loss': 0.9022, 'learning_rate': 4.566981132075472e-06, 'epoch': 2.02}                                                                                   
{'loss': 0.9119, 'learning_rate': 4.544811320754717e-06, 'epoch': 2.03}                                                                                   
{'loss': 1.1258, 'learning_rate': 4.522641509433962e-06, 'epoch': 2.03}                                                                                   
{'loss': 0.9265, 'learning_rate': 4.500471698113208e-06, 'epoch': 2.04}                                                                                   
{'loss': 0.574, 'learning_rate': 4.478301886792453e-06, 'epoch': 2.04}                                                                                    
{'loss': 0.9435, 'learning_rate': 4.456132075471698e-06, 'epoch': 2.05}                                                                                   
{'loss': 0.8164, 'learning_rate': 4.4339622641509435e-06, 'epoch': 2.05}                                                                                  
{'loss': 0.6653, 'learning_rate': 4.411792452830189e-06, 'epoch': 2.06}                                                                                   
{'loss': 0.8714, 'learning_rate': 4.389622641509434e-06, 'epoch': 2.06}                                                                                   
{'loss': 1.0226, 'learning_rate': 4.3674528301886794e-06, 'epoch': 2.07}                                                                                  
{'loss': 1.0519, 'learning_rate': 4.345283018867925e-06, 'epoch': 2.07}                                                                                   
{'loss': 0.9336, 'learning_rate': 4.32311320754717e-06, 'epoch': 2.08}                                                                                    
{'loss': 1.0574, 'learning_rate': 4.300943396226415e-06, 'epoch': 2.08}                                                                                   
{'loss': 0.671, 'learning_rate': 4.278773584905661e-06, 'epoch': 2.08}                                                                                    
{'loss': 0.6768, 'learning_rate': 4.256603773584906e-06, 'epoch': 2.09}                                                                                   
{'loss': 0.9739, 'learning_rate': 4.234433962264151e-06, 'epoch': 2.09}                                                                                   
{'loss': 0.731, 'learning_rate': 4.2122641509433966e-06, 'epoch': 2.1}                                                                                    
{'loss': 1.0556, 'learning_rate': 4.190094339622642e-06, 'epoch': 2.1}                                                                                    
{'loss': 1.1136, 'learning_rate': 4.167924528301887e-06, 'epoch': 2.11}                                                                                   
{'loss': 0.8036, 'learning_rate': 4.1457547169811325e-06, 'epoch': 2.11}                                                                                  
{'loss': 0.9698, 'learning_rate': 4.123584905660378e-06, 'epoch': 2.12}                                                                                   
{'loss': 0.8534, 'learning_rate': 4.101415094339623e-06, 'epoch': 2.12}                                                                                   
{'loss': 0.9461, 'learning_rate': 4.0792452830188675e-06, 'epoch': 2.13}                                                                                  
{'loss': 0.8421, 'learning_rate': 4.057075471698113e-06, 'epoch': 2.13}                                                                                   
{'loss': 0.8417, 'learning_rate': 4.034905660377358e-06, 'epoch': 2.14}                                                                                   
{'loss': 1.0037, 'learning_rate': 4.0127358490566035e-06, 'epoch': 2.14}                                                                                  
{'loss': 0.8487, 'learning_rate': 3.990566037735849e-06, 'epoch': 2.15}                                                                                   
{'loss': 0.9673, 'learning_rate': 3.968396226415094e-06, 'epoch': 2.15}                                                                                   
{'loss': 0.9076, 'learning_rate': 3.946226415094339e-06, 'epoch': 2.16}                                                                                   
{'loss': 1.0292, 'learning_rate': 3.924056603773585e-06, 'epoch': 2.16}                                                                                   
{'loss': 0.9502, 'learning_rate': 3.90188679245283e-06, 'epoch': 2.16}                                                                                    
{'loss': 0.7861, 'learning_rate': 3.879716981132075e-06, 'epoch': 2.17}                                                                                   
{'loss': 1.0717, 'learning_rate': 3.857547169811321e-06, 'epoch': 2.17}                                                                                   
{'loss': 0.8845, 'learning_rate': 3.835377358490566e-06, 'epoch': 2.18}                                                                                   
{'loss': 0.8402, 'learning_rate': 3.8132075471698116e-06, 'epoch': 2.18}                                                                                  
{'loss': 1.0282, 'learning_rate': 3.7910377358490565e-06, 'epoch': 2.19}                                                                                  
{'loss': 1.0333, 'learning_rate': 3.768867924528302e-06, 'epoch': 2.19}                                                                                   
{'loss': 1.0848, 'learning_rate': 3.746698113207547e-06, 'epoch': 2.2}                                                                                    
{'loss': 1.1009, 'learning_rate': 3.7245283018867924e-06, 'epoch': 2.2}                                                                                   
{'loss': 0.8293, 'learning_rate': 3.7023584905660377e-06, 'epoch': 2.21}                                                                                  
{'loss': 0.7316, 'learning_rate': 3.680188679245283e-06, 'epoch': 2.21}                                                                                   
{'loss': 0.7277, 'learning_rate': 3.6580188679245283e-06, 'epoch': 2.22}                                                                                  
{'loss': 0.9277, 'learning_rate': 3.6358490566037736e-06, 'epoch': 2.22}                                                                                  
{'loss': 0.824, 'learning_rate': 3.613679245283019e-06, 'epoch': 2.23}                                                                                    
{'loss': 0.8344, 'learning_rate': 3.5915094339622642e-06, 'epoch': 2.23}                                                                                  
{'loss': 0.8193, 'learning_rate': 3.5693396226415095e-06, 'epoch': 2.24}                                                                                  
{'loss': 0.9747, 'learning_rate': 3.547169811320755e-06, 'epoch': 2.24}                                                                                   
{'loss': 0.9932, 'learning_rate': 3.525e-06, 'epoch': 2.24}                                                                                               
{'loss': 0.9026, 'learning_rate': 3.5028301886792454e-06, 'epoch': 2.25}                                                                                  
{'loss': 0.9754, 'learning_rate': 3.4806603773584907e-06, 'epoch': 2.25}                                                                                  
{'loss': 1.0099, 'learning_rate': 3.458490566037736e-06, 'epoch': 2.26}                                                                                   
{'loss': 1.0504, 'learning_rate': 3.4363207547169813e-06, 'epoch': 2.26}                                                                                  
{'loss': 0.8599, 'learning_rate': 3.4141509433962266e-06, 'epoch': 2.27}                                                                                  
{'loss': 1.1678, 'learning_rate': 3.391981132075472e-06, 'epoch': 2.27}                                                                                   
{'loss': 0.8905, 'learning_rate': 3.3698113207547173e-06, 'epoch': 2.28}                                                                                  
{'loss': 0.7285, 'learning_rate': 3.3476415094339626e-06, 'epoch': 2.28}                                                                                  
{'loss': 1.0695, 'learning_rate': 3.325471698113208e-06, 'epoch': 2.29}                                                                                   
{'loss': 0.6647, 'learning_rate': 3.303301886792453e-06, 'epoch': 2.29}                                                                                   
{'loss': 0.9217, 'learning_rate': 3.2811320754716985e-06, 'epoch': 2.3}                                                                                   
{'loss': 0.8594, 'learning_rate': 3.2589622641509438e-06, 'epoch': 2.3}                                                                                   
{'loss': 0.8403, 'learning_rate': 3.2367924528301887e-06, 'epoch': 2.31}                                                                                  
{'loss': 0.8904, 'learning_rate': 3.214622641509434e-06, 'epoch': 2.31}                                                                                   
{'loss': 0.8703, 'learning_rate': 3.1924528301886793e-06, 'epoch': 2.32}                                                                                  
{'loss': 0.8541, 'learning_rate': 3.1702830188679246e-06, 'epoch': 2.32}                                                                                  
{'loss': 0.7575, 'learning_rate': 3.14811320754717e-06, 'epoch': 2.32}                                                                                    
{'loss': 0.8393, 'learning_rate': 3.125943396226415e-06, 'epoch': 2.33}                                                                                   
